Date,Operator,Location,Fatalities,Aboard
1908-09-17,Military - U.S. Army,"Fort Myer, Virginia",1,2
1912-07-12,Military - U.S. Navy,"AtlantiCity, New Jersey",5,5
1913-08-06,Private,"Victoria, British Columbia, Canada",1,1
1913-09-09,Military - German Navy,Over the North Sea,14,20
1913-10-17,Military - German Navy,"Near Johannisthal, Germany",30,30
1915-03-05,Military - German Navy,"Tienen, Belgium",21,41
1915-09-03,Military - German Navy,"Off Cuxhaven, Germany",19,19
1916-07-28,Military - German Army,"Near Jambol, Bulgeria",20,20
1916-09-24,Military - German Navy,"Billericay, England",22,22
1916-10-01,Military - German Navy,"Potters Bar, England",19,19
1916-11-21,Military - German Army,"Mainz, Germany",27,28
1916-11-28,Military - German Navy,"Off West Hartlepool, England",20,20
1917-03-04,Military - German Army,"Near Gent, Belgium",20,20
1917-03-30,Military - German Navy,Off Northern Germany,23,23
1917-05-14,Military - German Navy,"Near Texel Island, North Sea",21,21
1917-06-14,Military - German Navy,"Off Vlieland Island, North Sea",24,24
1917-08-21,Military - German Navy,Off western Denmark,18,18
1917-10-20,Military - German Navy,"Near Luneville, France",18,18
1918-04-07,Military - German Navy,Over the Mediterranean,23,23
1918-05-10,Military - German Navy,"Off Helgoland Island, Germany",22,22
1918-08-11,Military - German Navy,"Ameland Island, North Sea",19,19
1918-12-16,US Aerial Mail Service,"Elizabeth, New Jersey",1,1
1919-05-25,US Aerial Mail Service,"Cleveland, Ohio",1,1
1919-07-19,US Aerial Mail Service,"Dix Run, Pennsylvania",1,1
1919-10-02,Aircraft Transport and Travel,"Newcastle, England",1,1
1919-10-14,US Aerial Mail Service,"Cantonsville, Maryland",1,1
1919-10-20,Aircraft Transport and Travel,English Channel,0,0
1919-10-30,US Aerial Mail Service,"Long Valley, New Jersey",1,1
1920-03-10,US Aerial Mail Service,"New Paris, Indiana",1,1
1920-03-30,US Aerial Mail Service,"Newark, New Jersey",1,1
1920-04-10,US Aerial Mail Service,"Newark, New Jersey",1,2
1920-04-11,US Aerial Mail Service,"Heller Field, New Jersey",1,2
1920-05-12,US Aerial Mail Service,"Oskaloosa, Iowa",1,2
1920-06-06,US Aerial Mail Service,"Cleveland, Ohio",1,1
1920-08-16,By Air,"Bedford, England",1,1
1920-08-16,US Aerial Mail Service,"College Park, Maryland",1,1
1920-09-01,US Aerial Mail Service,"Morristown, New Jersey",2,2
1920-09-15,US Aerial Mail Service,"Pemberville, Ohio",2,2
1920-09-27,US Aerial Mail Service,"Hillersburg, Pennsylvania",1,1
1920-10-02,Latecoere Airlines,"Off Port Vendres, France",2,2
1920-10-05,Latecoere Airlines,"Valencia, Spain",2,2
1920-10-15,US Aerial Mail Service,"Batavia, Illinois",1,1
1920-11-07,US Aerial Mail Service,"Tie Siding, Wyoming",1,1
1920-12-14,Handley Page Transport,"Cricklewood, England",4,8
1920-12-24,Aeropostale,"Barcelona, Spain",1,1
1921-02-03,US Aerial Mail Service,"Mendotta, Minnisota",1,1
1921-02-09,US Aerial Mail Service,"La Crosse, Wisconsin",3,3
1921-02-15,Aeropostale,Off Gibraltar,2,2
1921-02-22,US Aerial Mail Service,"Elko, Nevada",1,1
1921-04-06,Military - Royal Australian Air Force,"Point Cook, Australia",1,2
1921-04-21,US Aerial Mail Service,"Mitchel Field, NY",1,1
1921-04-29,US Aerial Mail Service,"Cleveland, Ohio",1,1
1921-05-17,US Aerial Mail Service,"Rock Springs, Wyoming",1,1
1921-07-16,US Aerial Mail Service,"San Francisco, California",1,1
1921-08-14,Aeropostale,"Toulouse, France",2,2
1921-08-24,Military - Royal Airship Works,"River Humber, England",46,46
1921-09-06,Franco-Roumaine,"Paris, France",5,5
1921-12-05,West Australian Airways,"Near Murchinson River, Australia",3,3
1922-01-14,Handley Page Transport,"Paris, France",5,5
1922-02-21,Military - U.S. Army Air Service,"Near Norfolk, Virginia",34,45
1922-04-07,Daimler Airways / Grands Express Aeriens,"Grandvilliers, France",7,7
1922-04-08,,"Pao Ting Fou, China",17,17
1922-04-13,Vickers,"Brooklands, England",3,3
1925-10-01,US Aerial Mail Service,"Nittany Mt, Ohio",1,1
1922-06-03,Cie des Messageries Aeriennes,"Off Folkestone, Kent, England",3,3
1922-07-26,Grands Express Aeriens,"Cadix, Spain",3,3
1922-09-07,US Aerial Mail Service,"Indianapolis, Indiana",1,1
1922-10-02,,"Venice, Italy",4,4
1922-10-25,Grands Express Aeriens,"Larache, Morocco",2,2
1922-12-03,Grands Express Aeriens,"Fez, Morocco",1,1
1923-01-10,Amee de l'Air,"Ajaccio, France",3,4
1923-01-17,Grands Express Aeriens,"Barcelona, Spain",1,1
1923-01-18,US Aerial Mail Service,"Cheyenne, Wyoming",1,1
1923-02-26,US Aerial Mail Service,"Meadville, Pennsylvania",1,1
1923-05-14,Grands Express Aeriens,"Monsures, France",6,6
1923-08-27,Campagnie France Roumaine,"Bucharest, Romania",2,2
1923-09-07,US Aerial Mail Service,"Colton, Ohio",1,1
1923-09-14,Daimler Airways,"Berks, England",6,6
1923-11-18,CCCP,Russia,2,4
1923-12-06,US Aerial Mail Service,"Castalia, Ohio",1,1
1923-12-23,Military - French Navy,Over the Mediterranean Sea,52,52
1923-12-24,US Aerial Mail Service,"Egbert, WY",1,1
1924-03-07,US Aerial Mail Service,"Grampian, Pennsylvania",1,1
1924-04-24,KLM Royal Dutch Airlines,Over the English Channel,3,3
1924-06-08,SCADTA,"Barranquilla, Colombia",3,3
1924-08-01,US Aerial Mail Service,United States,1,1
1924-11-06,Grands Express Aeriens,"Cabrerolles, France",1,1
1924-12-21,US Aerial Mail Service,"Goshen, Indiana",1,1
1924-12-24,Imperial Airways,"Purley, England",8,8
1925-03-22,Zakavia,"Near Tiflies, Georgia, USSR",5,5
1925-04-25,Grands Express Aeriens,"Alicante, Spain",4,4
1925-05-25,Lignes Aeriennes Latecoere,"Alicante, Spain",2,2
1925-06-25,KLM Royal Dutch Airlines,"Landrécies, France",4,4
1925-06-26,Grands Express Aeriens,"Alicante, Spain",2,2
1925-07-20,Lignes Aeriennes Latecoere,"Rosas, Spain",1,1
1925-07-24,CIDNA,"Budapest, Hungary",1,1
1925-09-03,Military - U.S. Navy,"Caldwell, Ohio",14,43
1925-09-07,CIDNA,"Toul, France",3,3
1925-11-14,Air Union,"Off Boulogne-sur-Mer, France",2,2
1926-02-12,US Aerial Mail Service,"Montpelier, Ohio",1,1
1926-03-08,Deutche Lufthansa,"Staaken, Germany",1,1
1926-05-31,Air Union,English Channel,1,1
1926-07-03,Compagnie Internationale de Navigation Aérienne,"Rossaugpt, Czechoslovakia",7,7
1926-07-09,KLM Royal Dutch Airlines,"Wolvertem, Belgium",2,2
1926-07-24,Deutsche Lufthansa,"Juist, Germany",4,4
1926-08-18,Air Union,"Hurst, Kent, England",4,4
1926-09-26,,"New York, New York",2,5
1926-10-08,Deutsche Lufthansa,"Bueren, Germany",4,4
1926-10-21,Imperial Airways,English Channel,0,12
1926-11-11,Grands Express Aeriens,"Cape Bojador, Morocco",3,3
1926-12-16,PacifiAir Transport,"Medford, Oregon",1,1
1927-01-12,KLM Royal Dutch Airlines,"Lille, France",2,2
1927-03-20,Grands Express Aeriens,"Rabat, Morocco",1,1
1927-03-24,Qantas,"Tambo, Qld, Australia",3,3
1927-04-15,Varney Air Lines,"King Hill, Idaho",1,1
1927-04-22,US Aerial Mail Service,"Goshen, Indiana",1,1
1927-04-22,Deutsche Lufthansa,"Floh, Germany",2,2
1927-05-02,Air Union,"Algiers, Algeria",1,3
1927-07-27,Deutsche Lufthansa,"Amoneburg, Germany",5,5
1927-08-22,KLM Royal Dutch Airlines,"Sevenoaks, England",1,11
1927-09-03,Colonial Air Transport,"Willington, Connecticut",1,1
1927-09-17,Reynolds Airways,"Hadley, New Jersey",7,12
1927-09-22,Deutsche Lufthansa,"Saale, Germany",2,4
1927-09-23,Deutsche Lufthansa,"Schleiz, Germany",6,6
1927-10-06,Lignes Aeriennes Latecoere,"Thies, Mauritania",2,2
1927-10-30,Colonial Air Transport,"New Brunswick, New Jersey",4,4
1927-11-16,CIDNA,"Strasburg, France",1,1
1927-11-16,Aero O-Y,Over the Gulf of Finland,6,6
1927-11-29,National Air Transport,"Corunna, Indiana",1,1
1927-12-26,Aeropostale,"Almeria, Spain",2,2
1927-12-28,Aeropostale,"Abuerio, Spain",1,1
1927-12-31,Latecoere Airlines,France,4,4
1928-01-08,Colonial Western Airlines,"Near Canajoharie, New York",3,3
1928-01-16,Aeropostale,"Solis, Uruguay",2,2
1928-01-22,Aeropostale,"Tarragona, Spain",2,2
1928-01-22,Aeropostale,France,1,2
1928-01-27,Aeropostale,"Almeria, Spain",1,1
1928-02-26,Boeing Air Transport,"Marquette, Nebraska",1,2
1928-03-03,,"Rio de Janeiro, Brazil",10,10
1928-03-11,Air Union,"Off Cape Griz Nez, France",2,2
1928-04-17,Boeing Air Transport,"Federal, Wyoming",1,2
1928-04-19,Iberia Airlines,"Minuesa, Spain",9,9
1928-05-07,Aeropostale,,1,1
1928-05-12,Ford Air Freight Inc.,"Dearborn, Minnesota",2,2
1928-05-26,Deutsche Lufthansa,"Radevormwald, Germany",3,5
1928-06-14,Deutsche Lufthansa,"Frankfurt, Germany",5,5
1928-06-22,National Air Transport,"Lebo, Kansas",1,1
1928-07-10,Aero O-Y,Over the Gulf of Finland,6,6
1928-07-13,Imperial Airways,"Purley, England",4,4
1928-07-24,KLM Royal Dutch Airlines,"Waalhaven harbor, Netherlands",1,1
1928-08-25,British Columbia Airways,"Near Port Townsend, BC, Canada",7,7
1928-09-02,CIDNA,"Toul, France",3,3
1928-09-04,Qantas,"Adelaide Hills, Australia",1,2
1928-09-04,National Parks Airways,"Pocatello, Idaho",7,7
1928-09-06,Deutsche Lufthansa,"Heroldbach, Germany",3,3
1928-10-04,Aeropostale,"Gerona, Spain",3,3
1928-10-18,National Air Transport,"Polk, Pennsylvania",1,1
1928-10-31,Air Union,"Valence, France",1,2
1928-11-15,Aeropostale,Off Gibraltar,1,2
1928-11-24,Universal Airlines,"Edgerton, Ohio",3,3
1928-11-25,National Air Transport,"Bristolville, Ohio",1,1
1928-11-25,Continental Air Lines,"Edgerton, Ohio",3,3
1928-12-01,Sunbeam Air Transport Co.,"Spur, Texas",5,5
1928-12-03,Syndicato Condor,Brazil,14,14
1928-12-04,,"Rio de Janeiro, Brazil",6,6
1928-12-11,Deutsche Lufthansa,"Letzlingen, Germany",3,4
1928-12-20,National Air Transport,"Huron, Ohio",1,1
1928-12-23,Interstate Airlines,"Chattanooga, Tennessee",4,4
1928-12-31,CIDNA,"Reims, France",2,3
1929-01-05,Colonial Air Transport,"Stafford Springs, Connecticut",1,1
1929-01-18,Varney Air Lines,"Cove, Oregon",1,1
1929-01-25,Aeroespresso,"Near Corfu, Greece",2,9
1929-01-31,Skyline Transportation Company,"Morgantown, West Virginia",1,1
1929-01-31,Aeropostale,Off Morocco,2,2
1929-03-17,Colonial Western Airlines,"Newark, New Jersey",14,15
1929-03-30,New Standard Airlines,"Near Beaumont, California",4,4
